,0.1,0.1,0.1,0.3,0.3,0.3,0.5,0.5,0.5,0.7,0.7,0.7,0.9,0.9,0.9
,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes
0,1.0,33.0,94.0,3.0,57.0,68.0,12.0,35.0,81.0,56.0,24.0,48.0,128.0,0.0,0.0
1,5.0,26.0,97.0,11.0,31.0,86.0,13.0,37.0,78.0,63.0,19.0,46.0,128.0,0.0,0.0
2,3.0,27.0,98.0,7.0,25.0,96.0,11.0,45.0,72.0,58.0,34.0,36.0,128.0,0.0,0.0
3,4.0,37.0,87.0,5.0,29.0,94.0,11.0,42.0,75.0,53.0,32.0,43.0,128.0,0.0,0.0
4,3.0,30.0,95.0,5.0,37.0,86.0,11.0,42.0,75.0,61.0,24.0,43.0,128.0,0.0,0.0
5,3.0,25.0,100.0,4.0,31.0,93.0,14.0,43.0,71.0,58.0,8.0,62.0,128.0,0.0,0.0
6,3.0,36.0,89.0,1.0,31.0,96.0,18.0,37.0,73.0,55.0,17.0,56.0,128.0,0.0,0.0
7,3.0,34.0,91.0,8.0,35.0,85.0,16.0,35.0,77.0,63.0,20.0,45.0,128.0,0.0,0.0
8,6.0,27.0,95.0,7.0,37.0,84.0,21.0,39.0,68.0,60.0,31.0,37.0,128.0,0.0,0.0
9,1.0,45.0,82.0,5.0,40.0,83.0,21.0,25.0,82.0,55.0,22.0,51.0,128.0,0.0,0.0
10,7.0,26.0,95.0,6.0,39.0,83.0,10.0,49.0,69.0,62.0,27.0,39.0,128.0,0.0,0.0
11,1.0,36.0,91.0,5.0,33.0,90.0,20.0,27.0,81.0,66.0,27.0,35.0,128.0,0.0,0.0
12,9.0,15.0,104.0,10.0,34.0,84.0,18.0,37.0,73.0,66.0,25.0,37.0,128.0,0.0,0.0
13,2.0,35.0,91.0,6.0,40.0,82.0,14.0,42.0,72.0,50.0,27.0,51.0,128.0,0.0,0.0
14,4.0,32.0,92.0,9.0,40.0,79.0,13.0,40.0,75.0,56.0,19.0,53.0,128.0,0.0,0.0
15,4.0,26.0,98.0,5.0,32.0,91.0,11.0,45.0,72.0,54.0,27.0,47.0,128.0,0.0,0.0
16,1.0,26.0,101.0,6.0,29.0,93.0,15.0,37.0,76.0,63.0,26.0,39.0,128.0,0.0,0.0
17,3.0,43.0,82.0,7.0,31.0,90.0,14.0,48.0,66.0,63.0,23.0,42.0,128.0,0.0,0.0
18,4.0,26.0,98.0,3.0,34.0,91.0,21.0,31.0,76.0,49.0,21.0,58.0,128.0,0.0,0.0
19,6.0,28.0,94.0,0.0,43.0,85.0,11.0,33.0,84.0,62.0,18.0,48.0,128.0,0.0,0.0
20,6.0,26.0,96.0,7.0,37.0,84.0,16.0,40.0,72.0,69.0,10.0,49.0,128.0,0.0,0.0
21,3.0,28.0,97.0,4.0,25.0,99.0,21.0,33.0,74.0,66.0,15.0,47.0,124.0,0.0,4.0
22,5.0,33.0,90.0,5.0,31.0,92.0,14.0,31.0,83.0,50.0,39.0,39.0,128.0,0.0,0.0
23,5.0,27.0,96.0,8.0,32.0,88.0,14.0,54.0,60.0,56.0,21.0,51.0,124.0,1.0,3.0
24,3.0,41.0,84.0,5.0,36.0,87.0,13.0,46.0,69.0,63.0,26.0,39.0,128.0,0.0,0.0
