,0.1,0.1,0.1,0.3,0.3,0.3,0.5,0.5,0.5,0.7,0.7,0.7,0.9,0.9,0.9
,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes
0,4.0,20.0,104.0,2.0,21.0,105.0,6.0,30.0,92.0,3.0,32.0,93.0,10.0,17.0,101.0
1,3.0,22.0,103.0,4.0,15.0,109.0,7.0,32.0,89.0,6.0,22.0,100.0,7.0,4.0,117.0
2,5.0,13.0,110.0,2.0,21.0,105.0,6.0,28.0,94.0,5.0,28.0,95.0,4.0,2.0,122.0
3,1.0,26.0,101.0,1.0,34.0,93.0,3.0,24.0,101.0,3.0,30.0,95.0,6.0,2.0,120.0
4,3.0,30.0,95.0,0.0,36.0,92.0,5.0,29.0,94.0,6.0,21.0,101.0,11.0,5.0,112.0
5,0.0,26.0,102.0,4.0,24.0,100.0,4.0,22.0,102.0,6.0,27.0,95.0,11.0,1.0,116.0
6,2.0,26.0,100.0,2.0,26.0,100.0,1.0,27.0,100.0,7.0,44.0,77.0,9.0,5.0,114.0
7,1.0,24.0,103.0,1.0,22.0,105.0,4.0,27.0,97.0,5.0,33.0,90.0,8.0,1.0,119.0
8,3.0,34.0,91.0,1.0,30.0,97.0,4.0,23.0,101.0,2.0,28.0,98.0,12.0,10.0,106.0
9,1.0,22.0,105.0,6.0,17.0,105.0,5.0,19.0,104.0,5.0,33.0,90.0,6.0,6.0,116.0
10,2.0,25.0,101.0,3.0,32.0,93.0,3.0,20.0,105.0,7.0,21.0,100.0,9.0,3.0,116.0
11,1.0,22.0,105.0,3.0,31.0,94.0,1.0,31.0,96.0,1.0,37.0,90.0,8.0,6.0,114.0
12,1.0,20.0,107.0,2.0,22.0,104.0,3.0,21.0,104.0,2.0,34.0,92.0,9.0,3.0,116.0
13,6.0,25.0,97.0,4.0,19.0,105.0,4.0,18.0,106.0,3.0,38.0,87.0,11.0,2.0,115.0
14,1.0,22.0,105.0,4.0,22.0,102.0,1.0,28.0,99.0,5.0,29.0,94.0,14.0,9.0,105.0
15,2.0,16.0,110.0,3.0,14.0,111.0,1.0,14.0,113.0,6.0,39.0,83.0,10.0,4.0,114.0
16,4.0,16.0,108.0,3.0,34.0,91.0,4.0,25.0,99.0,7.0,27.0,94.0,9.0,12.0,107.0
17,3.0,25.0,100.0,1.0,13.0,114.0,1.0,29.0,98.0,4.0,38.0,86.0,9.0,3.0,116.0
18,2.0,41.0,85.0,2.0,24.0,102.0,1.0,33.0,94.0,3.0,37.0,88.0,12.0,3.0,113.0
19,2.0,25.0,101.0,7.0,26.0,95.0,3.0,18.0,107.0,3.0,45.0,80.0,13.0,3.0,112.0
20,3.0,25.0,100.0,3.0,18.0,107.0,2.0,23.0,103.0,4.0,43.0,81.0,8.0,11.0,109.0
21,2.0,17.0,109.0,3.0,20.0,105.0,6.0,31.0,91.0,2.0,32.0,94.0,9.0,11.0,108.0
22,2.0,21.0,105.0,2.0,30.0,96.0,1.0,26.0,101.0,5.0,21.0,102.0,9.0,1.0,118.0
23,1.0,24.0,103.0,0.0,8.0,120.0,4.0,29.0,95.0,4.0,26.0,98.0,8.0,4.0,116.0
24,0.0,25.0,103.0,2.0,22.0,104.0,4.0,31.0,93.0,2.0,43.0,83.0,7.0,5.0,116.0
