,8,4,3,2,1
count,20.0,20.0,20.0,20.0,20.0
mean,0.8705850034952164,0.8730750024318695,0.874294999241829,0.8751999974250794,0.8748749971389771
std,0.00187877610284754,0.0018229090204395467,0.0018222262163661348,0.0017720043261124276,0.0022740794451908426
min,0.8684999942779541,0.8705000281333923,0.8718000054359436,0.8718000054359436,0.870199978351593
25%,0.8684999942779541,0.871725007891655,0.87295001745224,0.8742500096559525,0.873349979519844
50%,0.870600014925003,0.8727000057697296,0.8738999962806702,0.875,0.8745999932289124
75%,0.8715500086545944,0.8741250187158585,0.8757749944925308,0.8763499855995178,0.8769999742507935
max,0.8748000264167786,0.8763999938964844,0.8774999976158142,0.8794000148773193,0.8781999945640564
