,Layer 5,Layer 4,Layer 3,Layer 2,Layer 1
0,27,73,25,3,4
1,25,81,31,7,0
2,25,75,31,16,5
3,32,79,31,7,4
4,35,114,39,20,8
5,21,91,29,6,1
6,33,75,39,6,5
7,25,63,25,5,3
8,27,61,27,4,3
9,30,72,29,2,0
