,Unoptimized Weights,Optimized Weights
0,0.9765999913215637,0.9758999943733215
1,0.9768999814987183,0.9764999747276306
2,0.9763000011444092,0.9729999899864197
3,0.9771000146865845,0.9739999771118164
4,0.9750999808311462,0.9745000004768372
5,0.9726999998092651,0.9757000207901001
6,0.9767000079154968,0.9764999747276306
7,0.9743000268936157,0.9731000065803528
8,0.9772999882698059,0.9732999801635742
9,0.9739000201225281,0.975600004196167
10,0.9751999974250793,0.9760000109672546
11,0.9749000072479248,0.9763000011444092
12,0.9735000133514404,0.9736999869346619
13,0.9750000238418579,0.9750999808311462
14,0.974399983882904,0.9739999771118164
15,0.9772999882698059,0.9767000079154968
16,0.977400004863739,0.9732000231742859
17,0.9729999899864197,0.9767000079154968
18,0.9768000245094299,0.9724000096321106
19,0.9732000231742859,0.9769999980926514
20,0.9750999808311462,0.9732999801635742
21,0.9757000207901001,0.9772999882698059
22,0.9769999980926514,0.9768000245094299
23,0.9763000011444092,0.9751999974250793
24,0.9742000102996826,0.9764000177383423
