,Exhaustive,Greedy (-1e-2 cutoff),Greedy (-1e-3 cutoff)
0,168.36100268363953,63.18250012397766,29.669628381729126
1,139.19140148162842,56.28582239151001,23.57550024986267
2,145.16100120544434,93.11800003051758,34.45300006866455
3,158.97399997711182,57.39550161361694,30.133500337600708
4,189.81088781356812,87.15050053596497,32.091498613357544
5,135.27712416648865,95.3204972743988,30.95649743080139
6,118.61050057411194,56.44350051879883,28.046000242233276
7,142.29700016975403,89.13800001144409,28.714502811431885
8,169.29750227928162,63.3199999332428,29.69499921798706
9,140.4790017604828,74.64049959182739,33.614503145217896
