,Unoptimized Weights,Optimized Weights
0,0.3586176037788391,0.3767777383327484
1,0.3671584129333496,0.34914055466651917
2,0.36632639169692993,0.36631882190704346
3,0.3485127091407776,0.3617405295372009
4,0.3830524682998657,0.3771126866340637
5,0.37249311804771423,0.3632240295410156
6,0.37073150277137756,0.35648036003112793
7,0.36503639817237854,0.34437882900238037
8,0.3738241493701935,0.35635048151016235
9,0.37538743019104004,0.3645739257335663
10,0.3724575340747833,0.3411894738674164
11,0.3906007707118988,0.3685608506202698
12,0.35791832208633423,0.3676413297653198
13,0.35815489292144775,0.3767451047897339
14,0.37019652128219604,0.3478314280509949
15,0.3714412450790405,0.36600857973098755
16,0.35881507396698,0.3727474510669708
17,0.3618318736553192,0.350357323884964
18,0.3798423707485199,0.34891778230667114
19,0.3918958902359009,0.36181026697158813
20,0.3611859977245331,0.3603554666042328
21,0.3588757812976837,0.42648354172706604
22,0.3592578172683716,0.3828004002571106
23,0.3470723032951355,0.3559390902519226
24,0.35494646430015564,0.3589979112148285
