,Layer 3,Layer 2,Layer 1
0,1,2,2
1,1,3,1
2,0,2,4
3,0,4,-4
4,0,6,-3
5,0,1,7
6,0,1,6
7,1,-1,8
8,0,3,-4
9,0,3,2
