,Layer 3,Layer 2,Layer 1
0,1,2,2
1,1,4,-1
2,0,1,6
3,0,5,-4
4,0,6,0
5,0,2,8
6,0,1,6
7,0,1,8
8,0,3,-4
9,0,3,2
