,0
0,0.15243291854858398
1,0.13585036993026733
2,0.14608117938041687
3,0.0028822720050811768
4,0.21355536580085754
5,0.15865850448608398
6,0.23904702067375183
7,0.13587859272956848
8,0.13990643620491028
9,0.07325983047485352
10,0.006139129400253296
11,0.025414317846298218
12,0.2102031707763672
13,0.03684160113334656
14,0.009316563606262207
15,0.1324520707130432
16,0.001490861177444458
17,0.2140432894229889
18,0.004741758108139038
19,-0.005111426115036011
20,0.18268859386444092
21,0.0014821290969848633
22,0.1275319755077362
23,0.20382696390151978
24,0.10958576202392578
25,0.03825581073760986
26,0.12210884690284729
27,0.05414310097694397
28,0.052695244550704956
29,0.020260870456695557
30,0.08190622925758362
31,0.0934600830078125
32,0.015364259481430054
33,0.10969814658164978
34,0.19317248463630676
35,0.14165258407592773
36,0.19730699062347412
37,0.04102495312690735
38,0.22823023796081543
39,0.16584017872810364
40,0.11190617084503174
41,0.2716818153858185
42,0.0050008296966552734
43,0.004141181707382202
44,0.09257498383522034
45,0.37253883481025696
46,0.013425976037979126
47,0.07306012511253357
48,0.12458175420761108
49,0.027810215950012207
