,Zero Nodes,Worse Nodes,Important Nodes
0,1.0,14.0,49.0
1,0.0,12.0,52.0
2,3.0,16.0,45.0
3,2.0,0.0,62.0
4,2.0,1.0,61.0
5,4.0,10.0,50.0
6,2.0,15.0,47.0
7,3.0,11.0,50.0
8,2.0,8.0,54.0
9,2.0,20.0,42.0
10,0.0,11.0,53.0
11,0.0,14.0,50.0
12,2.0,4.0,58.0
13,5.0,7.0,52.0
14,3.0,13.0,48.0
15,5.0,17.0,42.0
16,1.0,7.0,56.0
17,2.0,16.0,46.0
18,2.0,9.0,53.0
19,1.0,9.0,54.0
20,2.0,19.0,43.0
21,1.0,6.0,57.0
22,3.0,6.0,55.0
23,0.0,12.0,52.0
24,1.0,8.0,55.0
25,3.0,6.0,55.0
26,1.0,2.0,61.0
27,5.0,6.0,53.0
28,3.0,6.0,55.0
29,1.0,5.0,58.0
30,2.0,9.0,53.0
31,2.0,11.0,51.0
32,3.0,12.0,49.0
33,2.0,14.0,48.0
34,2.0,4.0,58.0
35,2.0,3.0,59.0
36,2.0,9.0,53.0
37,3.0,4.0,57.0
38,3.0,10.0,51.0
39,2.0,15.0,47.0
40,1.0,14.0,49.0
41,4.0,11.0,49.0
42,1.0,15.0,48.0
43,2.0,6.0,56.0
44,0.0,6.0,58.0
45,3.0,8.0,53.0
46,0.0,5.0,59.0
47,2.0,5.0,57.0
48,3.0,12.0,49.0
49,2.0,8.0,54.0
