,1,1,1,8,8,8,32,32,32,256,256,256,1024,1024,1024
,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes
0,38.0,8.0,18.0,14.0,32.0,18.0,20.0,22.0,22.0,22.0,16.0,26.0,26.0,2.0,36.0
1,39.0,7.0,18.0,16.0,30.0,18.0,25.0,11.0,28.0,26.0,6.0,32.0,23.0,8.0,33.0
2,36.0,8.0,20.0,19.0,25.0,20.0,25.0,21.0,18.0,26.0,1.0,37.0,25.0,6.0,33.0
3,21.0,20.0,23.0,20.0,24.0,20.0,28.0,14.0,22.0,16.0,16.0,32.0,14.0,6.0,44.0
4,44.0,3.0,17.0,12.0,30.0,22.0,25.0,12.0,27.0,19.0,13.0,32.0,33.0,0.0,31.0
5,36.0,9.0,19.0,21.0,19.0,24.0,27.0,9.0,28.0,25.0,7.0,32.0,31.0,6.0,27.0
6,39.0,9.0,16.0,16.0,31.0,17.0,37.0,5.0,22.0,27.0,8.0,29.0,21.0,1.0,42.0
7,36.0,8.0,20.0,23.0,17.0,24.0,29.0,10.0,25.0,31.0,6.0,27.0,27.0,7.0,30.0
8,20.0,13.0,31.0,16.0,24.0,24.0,26.0,11.0,27.0,29.0,4.0,31.0,20.0,11.0,33.0
9,39.0,4.0,21.0,22.0,18.0,24.0,25.0,9.0,30.0,28.0,4.0,32.0,19.0,7.0,38.0
10,38.0,6.0,20.0,16.0,12.0,36.0,24.0,10.0,30.0,21.0,11.0,32.0,23.0,3.0,38.0
11,37.0,10.0,17.0,18.0,26.0,20.0,28.0,12.0,24.0,26.0,3.0,35.0,25.0,4.0,35.0
12,36.0,15.0,13.0,22.0,21.0,21.0,26.0,15.0,23.0,19.0,10.0,35.0,24.0,9.0,31.0
13,46.0,3.0,15.0,22.0,24.0,18.0,29.0,10.0,25.0,28.0,0.0,36.0,21.0,9.0,34.0
14,47.0,6.0,11.0,18.0,21.0,25.0,21.0,25.0,18.0,29.0,2.0,33.0,25.0,3.0,36.0
