,Unoptimized Weights,Optimized Weights
0,0.07784070074558258,0.0870451033115387
1,0.09187426418066025,0.0840635672211647
2,0.08991209417581558,0.1177646592259407
3,0.0879824236035347,0.08201304823160172
4,0.09863664209842682,0.0849418044090271
5,0.0801926851272583,0.09072580933570862
6,0.10866131633520126,0.09045310318470001
7,0.09547194093465805,0.07632806152105331
8,0.0915239155292511,0.09244333207607269
9,0.09330824762582779,0.07878328114748001
10,0.0904546007514,0.08935616165399551
11,0.0915469080209732,0.08929911255836487
12,0.09771831333637238,0.08940160274505615
13,0.0868619754910469,0.10022207349538803
14,0.10055787116289139,0.09409452229738235
15,0.10017562657594681,0.09217620640993118
16,0.08836822211742401,0.0932956114411354
17,0.08368319272994995,0.08278195559978485
18,0.08160296827554703,0.10480652749538422
19,0.08840103447437286,0.09609290957450867
20,0.09063960611820221,0.0776202455163002
21,0.07887823134660721,0.09958543628454208
22,0.08219704031944275,0.08454341441392899
23,0.09077940136194229,0.08026871085166931
24,0.10149078816175461,0.09199954569339752
