,Exhaustive,Greedy (-1e-2 cutoff),Greedy (-1e-3 cutoff)
0,264.00450015068054,119.49406671524048,44.53450012207031
1,246.07142186164856,105.48850011825562,42.430499792099
2,281.3705008029938,91.45849990844727,35.1725013256073
3,297.5049991607666,111.50450015068054,47.91199779510498
4,248.93966579437256,85.8389983177185,33.23949909210205
5,237.26981234550476,93.99199843406677,33.76449966430664
6,261.70400071144104,114.89050006866455,49.473000288009644
7,186.68500185012817,115.56249809265137,38.328999519348145
8,321.6474997997284,103.6125009059906,44.01500129699707
9,221.6095004081726,96.8270001411438,40.03350067138672
