,Exhaustive,Greedy (-1e-2 cutoff),Greedy (-1e-3 cutoff)
0,-0.04866832494735718,-0.03964799642562866,-0.03964799642562866
1,-0.03073936700820923,-0.021309494972229004,-0.021309494972229004
2,-0.027505218982696533,-0.01661461591720581,-0.01661461591720581
3,-0.03169161081314087,-0.02164214849472046,-0.02164214849472046
4,-0.052747488021850586,-0.03678935766220093,-0.039574384689331055
