,Zero Nodes,Worse Nodes,Important Nodes
0,2.0,0.0,30.0
1,4.0,1.0,27.0
2,2.0,6.0,24.0
3,0.0,0.0,32.0
4,1.0,3.0,28.0
5,3.0,1.0,28.0
6,2.0,2.0,28.0
7,5.0,0.0,27.0
8,0.0,0.0,32.0
9,0.0,7.0,25.0
10,0.0,1.0,31.0
11,2.0,2.0,28.0
12,2.0,8.0,22.0
13,0.0,3.0,29.0
14,4.0,3.0,25.0
15,4.0,2.0,26.0
16,2.0,3.0,27.0
17,2.0,5.0,25.0
18,0.0,1.0,31.0
19,4.0,1.0,27.0
20,2.0,6.0,24.0
21,1.0,1.0,30.0
22,3.0,0.0,29.0
23,5.0,1.0,26.0
24,1.0,1.0,30.0
25,2.0,2.0,28.0
26,3.0,0.0,29.0
27,4.0,5.0,23.0
28,4.0,1.0,27.0
29,0.0,0.0,32.0
30,2.0,0.0,30.0
31,3.0,4.0,25.0
32,3.0,1.0,28.0
33,0.0,7.0,25.0
34,0.0,2.0,30.0
35,2.0,1.0,29.0
36,2.0,3.0,27.0
37,0.0,0.0,32.0
38,0.0,1.0,31.0
39,5.0,3.0,24.0
40,1.0,3.0,28.0
41,1.0,4.0,27.0
42,5.0,2.0,25.0
43,2.0,0.0,30.0
44,2.0,1.0,29.0
45,5.0,2.0,25.0
46,0.0,1.0,31.0
47,0.0,2.0,30.0
48,3.0,2.0,27.0
49,2.0,4.0,26.0
