,Zero Nodes,Worse Nodes,Important Nodes
0,18.0,21.0,89.0
1,25.0,4.0,99.0
2,16.0,15.0,97.0
3,21.0,25.0,82.0
4,15.0,11.0,102.0
5,19.0,19.0,90.0
6,14.0,26.0,88.0
7,19.0,22.0,87.0
8,21.0,9.0,98.0
9,25.0,3.0,100.0
10,19.0,17.0,92.0
11,10.0,12.0,106.0
12,21.0,15.0,92.0
13,17.0,26.0,85.0
14,10.0,22.0,96.0
15,18.0,13.0,97.0
16,11.0,15.0,102.0
17,18.0,13.0,97.0
18,23.0,26.0,79.0
19,26.0,27.0,75.0
20,14.0,21.0,93.0
21,16.0,13.0,99.0
22,22.0,24.0,82.0
23,17.0,23.0,88.0
24,16.0,34.0,78.0
25,18.0,13.0,97.0
26,14.0,27.0,87.0
27,17.0,7.0,104.0
28,16.0,26.0,86.0
29,19.0,24.0,85.0
30,15.0,11.0,102.0
31,12.0,32.0,84.0
32,16.0,21.0,91.0
33,19.0,13.0,96.0
34,15.0,19.0,94.0
35,16.0,13.0,99.0
36,14.0,22.0,92.0
37,18.0,19.0,91.0
38,19.0,8.0,101.0
39,21.0,20.0,87.0
40,17.0,26.0,85.0
41,19.0,21.0,88.0
42,15.0,18.0,95.0
43,20.0,20.0,88.0
44,16.0,24.0,88.0
45,21.0,12.0,95.0
46,22.0,12.0,94.0
47,17.0,13.0,98.0
48,21.0,19.0,88.0
49,15.0,27.0,86.0
