,1,1,1,8,8,8,32,32,32,256,256,256,1024,1024,1024
,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes
0,89.0,17.0,22.0,29.0,37.0,62.0,8.0,53.0,67.0,7.0,48.0,73.0,3.0,44.0,81.0
1,88.0,26.0,14.0,40.0,46.0,42.0,11.0,45.0,72.0,1.0,55.0,72.0,0.0,44.0,84.0
2,79.0,13.0,36.0,23.0,52.0,53.0,11.0,67.0,50.0,5.0,43.0,80.0,1.0,50.0,77.0
3,82.0,10.0,36.0,22.0,53.0,53.0,11.0,54.0,63.0,2.0,60.0,66.0,4.0,35.0,89.0
4,85.0,12.0,31.0,32.0,42.0,54.0,15.0,46.0,67.0,3.0,55.0,70.0,0.0,45.0,83.0
5,90.0,7.0,31.0,35.0,31.0,62.0,9.0,55.0,64.0,5.0,46.0,77.0,0.0,45.0,83.0
6,85.0,4.0,39.0,34.0,39.0,55.0,12.0,56.0,60.0,4.0,53.0,71.0,3.0,32.0,93.0
7,85.0,24.0,19.0,26.0,52.0,50.0,9.0,59.0,60.0,1.0,59.0,68.0,5.0,38.0,85.0
8,91.0,8.0,29.0,21.0,55.0,52.0,13.0,60.0,55.0,2.0,53.0,73.0,2.0,61.0,65.0
9,86.0,4.0,38.0,35.0,43.0,50.0,7.0,61.0,60.0,5.0,49.0,74.0,0.0,54.0,74.0
10,84.0,16.0,28.0,27.0,40.0,61.0,16.0,48.0,64.0,3.0,56.0,69.0,0.0,23.0,105.0
11,84.0,7.0,37.0,32.0,54.0,42.0,8.0,55.0,65.0,2.0,45.0,81.0,2.0,36.0,90.0
12,79.0,14.0,35.0,31.0,43.0,54.0,12.0,41.0,75.0,4.0,56.0,68.0,0.0,44.0,84.0
13,83.0,17.0,28.0,23.0,46.0,59.0,6.0,62.0,60.0,1.0,42.0,85.0,1.0,44.0,83.0
14,82.0,18.0,28.0,39.0,39.0,50.0,4.0,37.0,87.0,3.0,44.0,81.0,2.0,55.0,71.0
