,0
0,0.08042970299720764
1,0.00031375885009765625
2,0.0011291727423667908
3,0.06745102256536484
4,-0.0024555474519729614
5,0.006987914443016052
6,0.0016861334443092346
7,0.004567697644233704
8,0.00567261129617691
9,0.007082916796207428
10,0.09472563117742538
11,0.06322863698005676
12,0.0022404566407203674
13,0.044899120926856995
14,-0.001973383128643036
15,0.20631256699562073
16,0.0007746219635009766
17,0.01372353732585907
18,0.008328817784786224
19,0.009770780801773071
20,0.09421957284212112
21,-0.0005082041025161743
22,0.006100744009017944
23,0.5915282890200615
24,0.00526852160692215
25,0.041093386709690094
26,0.001631222665309906
27,0.022997505962848663
28,0.05896154046058655
29,0.003266274929046631
30,0.06169380247592926
31,0.016303665935993195
32,0.05090176314115524
33,0.018860697746276855
34,0.035769566893577576
35,0.154206283390522
36,0.013974204659461975
37,0.00040540844202041626
38,0.18618213385343552
39,0.027493596076965332
40,0.010870948433876038
41,0.035146601498126984
42,0.010711394250392914
43,0.03253547102212906
44,0.014930471777915955
45,0.0011197179555892944
46,0.01520826667547226
47,0.04082033038139343
48,0.154298298060894
49,0.006235241889953613
