,1,1,1,8,8,8,32,32,32,256,256,256,1024,1024,1024
,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes
0,63.0,28.0,37.0,30.0,25.0,73.0,22.0,33.0,73.0,12.0,19.0,97.0,11.0,22.0,95.0
1,54.0,20.0,54.0,31.0,18.0,79.0,15.0,27.0,86.0,15.0,37.0,76.0,13.0,3.0,112.0
2,54.0,20.0,54.0,29.0,18.0,81.0,13.0,24.0,91.0,5.0,27.0,96.0,13.0,5.0,110.0
3,56.0,26.0,46.0,21.0,31.0,76.0,19.0,29.0,80.0,8.0,35.0,85.0,11.0,14.0,103.0
4,62.0,27.0,39.0,30.0,20.0,78.0,13.0,32.0,83.0,9.0,9.0,110.0,14.0,15.0,99.0
5,60.0,23.0,45.0,27.0,22.0,79.0,11.0,30.0,87.0,11.0,32.0,85.0,8.0,11.0,109.0
6,53.0,29.0,46.0,28.0,19.0,81.0,12.0,22.0,94.0,7.0,34.0,87.0,10.0,10.0,108.0
7,63.0,15.0,50.0,36.0,24.0,68.0,19.0,26.0,83.0,12.0,33.0,83.0,15.0,12.0,101.0
8,43.0,34.0,51.0,28.0,33.0,67.0,10.0,26.0,92.0,12.0,19.0,97.0,8.0,13.0,107.0
9,55.0,24.0,49.0,25.0,21.0,82.0,16.0,23.0,89.0,7.0,15.0,106.0,9.0,24.0,95.0
10,54.0,19.0,55.0,28.0,32.0,68.0,13.0,26.0,89.0,16.0,28.0,84.0,13.0,14.0,101.0
11,50.0,25.0,53.0,29.0,18.0,81.0,17.0,23.0,88.0,12.0,27.0,89.0,14.0,15.0,99.0
12,63.0,24.0,41.0,28.0,23.0,77.0,12.0,28.0,88.0,12.0,21.0,95.0,11.0,24.0,93.0
13,53.0,35.0,40.0,28.0,21.0,79.0,14.0,25.0,89.0,5.0,41.0,82.0,11.0,12.0,105.0
14,53.0,24.0,51.0,33.0,29.0,66.0,20.0,20.0,88.0,13.0,32.0,83.0,11.0,13.0,104.0
15,51.0,23.0,54.0,25.0,27.0,76.0,9.0,34.0,85.0,8.0,29.0,91.0,15.0,1.0,112.0
16,56.0,20.0,52.0,31.0,27.0,70.0,6.0,32.0,90.0,12.0,29.0,87.0,19.0,12.0,97.0
17,53.0,22.0,53.0,34.0,22.0,72.0,18.0,22.0,88.0,12.0,31.0,85.0,9.0,13.0,106.0
18,54.0,32.0,42.0,26.0,17.0,85.0,20.0,33.0,75.0,10.0,36.0,82.0,17.0,18.0,93.0
19,56.0,25.0,47.0,21.0,34.0,73.0,12.0,29.0,87.0,6.0,27.0,95.0,11.0,19.0,98.0
20,62.0,15.0,51.0,28.0,31.0,69.0,10.0,25.0,93.0,11.0,21.0,96.0,10.0,13.0,105.0
21,56.0,28.0,44.0,20.0,27.0,81.0,17.0,19.0,92.0,15.0,26.0,87.0,15.0,7.0,106.0
22,53.0,31.0,44.0,31.0,22.0,75.0,18.0,23.0,87.0,10.0,41.0,77.0,18.0,17.0,93.0
23,51.0,28.0,49.0,29.0,18.0,81.0,17.0,32.0,79.0,8.0,14.0,106.0,14.0,13.0,101.0
24,54.0,25.0,49.0,30.0,18.0,80.0,17.0,24.0,87.0,16.0,17.0,95.0,14.0,6.0,108.0
