,Unoptimized Weights,Optimized Weights
0,0.07642951607704163,0.07998061180114746
1,0.07120589911937714,0.07560519129037857
2,0.07726610451936722,0.08399257063865662
3,0.07348600775003433,0.08416001498699188
4,0.07871001213788986,0.08246392756700516
5,0.0866042822599411,0.08027093857526779
6,0.07585196197032928,0.07612401247024536
7,0.08130350708961487,0.09292588382959366
8,0.07570701092481613,0.08951853960752487
9,0.08644433319568634,0.08189812302589417
10,0.07978472858667374,0.07951821386814117
11,0.07805949449539185,0.07563084363937378
12,0.08500504493713379,0.08383018523454666
13,0.07980300486087799,0.08316125720739365
14,0.08015063405036926,0.08501913398504257
15,0.0747656524181366,0.073149174451828
16,0.0761222317814827,0.08315937221050262
17,0.08408893644809723,0.07633893191814423
18,0.07641920447349548,0.09017577767372131
19,0.08574474602937698,0.07540659606456757
20,0.0829557552933693,0.08609630912542343
21,0.0776127353310585,0.07771424949169159
22,0.07832837849855423,0.07607999444007874
23,0.07722751796245575,0.08401228487491608
24,0.07947307080030441,0.07980041950941086
