,1,1,1,8,8,8,32,32,32,256,256,256,1024,1024,1024
,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes,Zero Nodes,Worse Nodes,Important Nodes
0,128.0,0.0,0.0,57.0,11.0,60.0,24.0,30.0,74.0,4.0,52.0,72.0,7.0,34.0,87.0
1,104.0,3.0,21.0,52.0,20.0,56.0,28.0,20.0,80.0,5.0,48.0,75.0,2.0,45.0,81.0
2,128.0,0.0,0.0,77.0,5.0,46.0,32.0,29.0,67.0,7.0,47.0,74.0,4.0,27.0,97.0
3,128.0,0.0,0.0,62.0,10.0,56.0,36.0,23.0,69.0,10.0,50.0,68.0,4.0,43.0,81.0
4,128.0,0.0,0.0,40.0,16.0,72.0,17.0,30.0,81.0,12.0,41.0,75.0,3.0,32.0,93.0
5,128.0,0.0,0.0,29.0,13.0,86.0,21.0,40.0,67.0,6.0,42.0,80.0,4.0,33.0,91.0
6,128.0,0.0,0.0,69.0,6.0,53.0,43.0,27.0,58.0,5.0,44.0,79.0,2.0,48.0,78.0
7,128.0,0.0,0.0,69.0,11.0,48.0,19.0,46.0,63.0,2.0,52.0,74.0,3.0,41.0,84.0
8,128.0,0.0,0.0,49.0,12.0,67.0,29.0,34.0,65.0,5.0,41.0,82.0,5.0,31.0,92.0
9,128.0,0.0,0.0,42.0,29.0,57.0,19.0,32.0,77.0,4.0,53.0,71.0,4.0,34.0,90.0
10,128.0,0.0,0.0,56.0,10.0,62.0,17.0,32.0,79.0,6.0,51.0,71.0,5.0,39.0,84.0
11,81.0,13.0,34.0,72.0,12.0,44.0,26.0,32.0,70.0,9.0,41.0,78.0,8.0,43.0,77.0
12,128.0,0.0,0.0,62.0,25.0,41.0,26.0,26.0,76.0,4.0,52.0,72.0,3.0,47.0,78.0
13,128.0,0.0,0.0,75.0,15.0,38.0,27.0,15.0,86.0,6.0,54.0,68.0,1.0,51.0,76.0
14,128.0,0.0,0.0,67.0,11.0,50.0,16.0,32.0,80.0,7.0,50.0,71.0,3.0,55.0,70.0
