,Zero Nodes,Worse Nodes,Important Nodes
0,0.0,0.0,32.0
1,0.0,2.0,30.0
2,1.0,5.0,26.0
3,0.0,3.0,29.0
4,2.0,9.0,21.0
5,1.0,0.0,31.0
6,0.0,6.0,26.0
7,2.0,0.0,30.0
8,0.0,10.0,22.0
9,0.0,4.0,28.0
