,Unoptimized Weights,Optimized Weights
0,0.8593999743461609,0.8561999797821045
1,0.8622999787330627,0.8644000291824341
2,0.8774999976158142,0.875
3,0.8604999780654907,0.8697999715805054
4,0.8614000082015991,0.868399977684021
5,0.8788999915122986,0.8679999709129333
6,0.864300012588501,0.8769000172615051
7,0.8686000108718872,0.8571000099182129
8,0.8705000281333923,0.8781999945640564
9,0.8687999844551086,0.8723000288009644
10,0.8636999726295471,0.8712000250816345
11,0.8748000264167786,0.869700014591217
12,0.8690999746322632,0.8568000197410583
13,0.873199999332428,0.8669000267982483
14,0.8647000193595886,0.8741999864578247
15,0.866599977016449,0.871999979019165
16,0.8571000099182129,0.8730999827384949
17,0.8744999766349792,0.8623999953269958
18,0.8712000250816345,0.8745999932289124
19,0.8716999888420105,0.8716999888420105
20,0.8756999969482422,0.8761000037193298
21,0.8751999735832214,0.8644999861717224
22,0.8700000047683716,0.8669000267982483
23,0.867900013923645,0.8726000189781189
24,0.8745999932289124,0.8676000237464905
