,0
0,-0.061100006103515625
1,-0.062099993228912354
2,-0.22070002555847168
3,-0.1403999924659729
4,-0.10930001735687256
5,-0.027899980545043945
6,0.003800034523010254
7,-0.2621999979019165
8,-0.26759999990463257
9,-0.015200018882751465
10,-0.1775999665260315
11,-0.1811000108718872
12,-0.08859997987747192
13,-0.1580999493598938
14,-0.014199972152709961
15,-0.018500030040740967
16,-0.15139997005462646
17,-0.019899964332580566
18,-0.1647999882698059
19,-0.09439998865127563
20,0.0023000240325927734
21,-0.14190000295639038
22,-0.20770001411437988
23,-0.05369997024536133
24,-0.16830003261566162
25,-0.08399999141693115
26,-0.0690000057220459
27,-0.11169999837875366
28,-0.025099992752075195
29,-0.014400005340576172
30,-0.15109997987747192
31,-0.008799970149993896
32,-0.18040001392364502
33,-0.09900003671646118
34,-0.07549995183944702
35,-0.22400003671646118
36,-0.13409996032714844
37,-0.20910000801086426
38,-0.06510001420974731
39,-0.2459999918937683
40,-0.010500013828277588
41,-0.11059999465942383
42,-0.08980000019073486
43,-0.20190000534057617
44,-0.01759999990463257
45,-0.05210000276565552
46,-0.27730000019073486
47,-0.04780000448226929
48,-0.005900025367736816
49,-0.12550002336502075
