,Unoptimized Weights,Optimized Weights
0,0.9772999882698059,0.9740999937057495
1,0.9735000133514404,0.9746999740600586
2,0.9746999740600586,0.9672999978065491
3,0.9757000207901001,0.9746999740600586
4,0.9735000133514404,0.9761000275611877
5,0.9761999845504761,0.9747999906539917
6,0.968500018119812,0.9726999998092651
7,0.9714000225067139,0.9778000116348267
8,0.9743000268936157,0.9729999899864197
9,0.9735999703407288,0.9767000079154968
10,0.9739000201225281,0.9739000201225281
11,0.9751999974250793,0.9732000231742859
12,0.9715999960899353,0.9740999937057495
13,0.9757000207901001,0.9708999991416931
14,0.9726999998092651,0.9722999930381775
15,0.9733999967575073,0.9746999740600586
16,0.9749000072479248,0.9735999703407288
17,0.9764000177383423,0.9740999937057495
18,0.9757000207901001,0.9681000113487244
19,0.973800003528595,0.972599983215332
20,0.9717000126838684,0.9757000207901001
21,0.9763000011444092,0.9710999727249146
22,0.975600004196167,0.9757999777793884
23,0.974399983882904,0.9764000177383423
24,0.9724000096321106,0.9724000096321106
