,Layer 5,Layer 4,Layer 3,Layer 2,Layer 1
0,31,110,37,17,11
1,28,150,39,10,5
2,32,127,39,11,10
3,26,132,41,15,9
4,41,124,50,18,4
5,40,121,49,32,9
6,33,119,45,18,10
7,35,118,56,12,10
8,38,157,50,10,7
9,35,133,52,21,16
