,0
0,27
1,5
2,7
3,22
4,7
5,15
6,4
7,10
8,13
9,12
10,22
11,22
12,18
13,18
14,8
15,26
16,11
17,16
18,19
19,17
20,24
21,6
22,8
23,39
24,12
25,17
26,9
27,24
28,19
29,14
30,26
31,15
32,17
33,21
34,22
35,24
36,12
37,13
38,27
39,17
40,10
41,14
42,22
43,22
44,19
45,14
46,13
47,24
48,31
49,12
