,Layer 3,Layer 2,Layer 1
0,1,0,2
1,3,0,2
2,-1,0,4
3,0,-1,1
4,1,2,-1
5,0,0,5
6,0,3,0
7,0,1,4
8,0,1,-5
9,0,-2,4
