,0
0,26
1,43
2,36
3,20
4,44
5,37
6,38
7,40
8,44
9,38
10,36
11,29
12,39
13,33
14,19
15,38
16,21
17,36
18,24
19,24
20,40
21,36
22,24
23,41
24,39
25,28
26,46
27,34
28,38
29,24
30,36
31,28
32,24
33,31
34,37
35,30
36,37
37,29
38,43
39,39
40,29
41,33
42,26
43,27
44,27
45,38
46,19
47,34
48,29
49,28
