,Zero Nodes,Worse Nodes,Important Nodes
0,42.0,0.0,22.0
1,33.0,2.0,29.0
2,37.0,2.0,25.0
3,39.0,2.0,23.0
4,44.0,1.0,19.0
5,40.0,0.0,24.0
6,40.0,1.0,23.0
7,38.0,0.0,26.0
8,33.0,0.0,31.0
9,35.0,0.0,29.0
