,Layer 5,Layer 4,Layer 3,Layer 2,Layer 1
0,42,121,53,19,6
1,41,98,31,9,4
2,38,103,37,10,6
3,38,101,45,7,2
4,31,77,30,10,4
5,37,83,29,11,2
6,42,103,38,15,4
7,44,127,34,13,4
8,36,84,29,11,4
9,40,97,37,11,3
