,Exhaustive,Greedy (-1e-2 cutoff),Greedy (-1e-3 cutoff)
0,-0.000800013542175293,-0.002200007438659668,-0.002200007438659668
1,0.0023999810218811035,0.0010999441146850586,-0.000500023365020752
2,0.0015000104904174805,0.001100003719329834,0.0015000104904174805
3,0.000899970531463623,0.0015999674797058105,0.0
4,0.0040999650955200195,0.000899970531463623,0.00279998779296875
5,-0.000500023365020752,-0.0015000104904174805,-0.000500023365020752
6,0.002499997615814209,0.000599980354309082,0.000599980354309082
7,0.0015000104904174805,0.001100003719329834,0.00270003080368042
8,0.0009999871253967285,0.000299990177154541,0.000299990177154541
9,0.002299964427947998,0.001399993896484375,0.001399993896484375
