,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19
8,0,0,0,0,0,0,8,0,8,0,0,0,8,0,8,8,0,8,0,0
4,0,4,4,8,4,8,8,8,4,4,4,8,4,4,12,0,4,8,12,8
3,6,9,6,6,12,6,12,3,12,12,6,9,6,12,9,6,6,9,9,9
2,8,12,6,10,8,10,6,10,6,8,16,4,12,10,8,8,10,12,8,6
1,8,6,9,6,6,8,6,7,11,5,6,11,6,6,9,8,7,9,7,7
