,Exhaustive,Greedy (-1e-2 cutoff),Greedy (-1e-3 cutoff)
0,-0.0036354511976242065,-0.001272059977054596,-0.001272059977054596
1,-0.014249511063098907,-0.010756202042102814,-0.009014032781124115
2,-0.011376544833183289,-0.011719398200511932,-0.011755138635635376
3,-0.008510656654834747,-0.007052227854728699,-0.003074556589126587
4,-0.017433948814868927,-0.008946433663368225,-0.009891442954540253
5,-0.0003231167793273926,-0.0018115267157554626,0.0015902966260910034
6,-0.014559537172317505,-0.0037605315446853638,-0.0037605315446853638
7,-0.01075562834739685,-0.008551672101020813,-0.005745716392993927
8,-0.008682802319526672,-0.009596958756446838,-0.009596958756446838
9,-0.009610451757907867,-0.00539020448923111,-0.00539020448923111
