,Exhaustive,Greedy (-1e-2 cutoff),Greedy (-1e-3 cutoff)
0,0.0037000179290771484,0.004800021648406982,0.004800021648406982
1,0.008899986743927002,0.007299959659576416,0.007299959659576416
2,0.002499997615814209,0.001100003719329834,0.001100003719329834
3,0.0006999969482421875,0.001399993896484375,0.001399993896484375
4,0.010200023651123047,0.006399989128112793,0.006399989128112793
5,0.008800029754638672,0.00700002908706665,0.00700002908706665
6,0.0,0.003800034523010254,0.003800034523010254
7,0.002200007438659668,0.0029000043869018555,0.003000020980834961
8,0.0006999969482421875,0.000899970531463623,0.000899970531463623
9,0.003399968147277832,0.0055999755859375,0.0055999755859375
