,Zero Nodes,Worse Nodes,Important Nodes
0,3.0,24.0,37.0
1,2.0,14.0,48.0
2,0.0,19.0,45.0
3,4.0,23.0,37.0
4,4.0,13.0,47.0
5,2.0,8.0,54.0
6,2.0,27.0,35.0
7,3.0,18.0,43.0
8,6.0,8.0,50.0
9,4.0,12.0,48.0
