,Zero Nodes,Worse Nodes,Important Nodes
0,13.0,3.0,48.0
1,12.0,1.0,51.0
2,3.0,3.0,58.0
3,13.0,4.0,47.0
4,8.0,10.0,46.0
5,8.0,3.0,53.0
6,13.0,1.0,50.0
7,4.0,1.0,59.0
8,2.0,4.0,58.0
9,7.0,1.0,56.0
